37.11,Cardiotomy,Cardiotomy
00.46,Insert 2 vascular stents,Insertion of two vascular stents
00.47,Insert 3 vascular stents,Insertion of three vascular stents
00.48,Insert 4+ vasculr stents,Insertion of four or more vascular stents
00.49,SuperSat O2 therapy,Supersaturated oxygen therapy
00.50,Impl CRT pacemaker sys,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]"
00.51,Impl CRT defibrillat sys,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]"
00.52,Imp/rep lead lf ven sys,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system
00.53,Imp/rep CRT pacemakr gen,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P]
00.54,Imp/rep CRT defib genat,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D]
00.55,Ins d-e stent oth periph,Insertion of drug-eluting stent(s) of other peripheral vessel(s)
00.56,Ins/rep sens-crd/vsl mtr,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring
00.57,Imp/rep subcue card dev,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring
00.58,Ins intra-ansm pres mntr,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative)
00.59,Intravasc msmnt cor art,Intravascular pressure measurement of coronary arteries
00.60,Ins d-e stnt sup fem art,Insertion of drug-eluting stent(s) of superficial femoral artery
00.61,Perc angio extracran ves,Percutaneous angioplasty of extracranial vessel(s)
00.62,Perc angio intracran ves,Percutaneous angioplasty of intracranial vessel(s)
00.63,Perc ins carotid stent,Percutaneous insertion of carotid artery stent(s)
00.64,Perc ins extracran stent,Percutaneous insertion of other extracranial artery stent(s)
00.65,Perc ins intracran stent,Percutaneous insertion of intracranial vascular stent(s)
00.66,PTCA,Percutaneous transluminal coronary angioplasty [PTCA]
00.67,Intravas msmnt thorc art,Intravascular pressure measurement of intrathoracic arteries
00.68,Intravas msmt periph art,Intravascular pressure measurement of peripheral arteries
00.69,Intravs msmt ves NEC/NOS,"Intravascular pressure measurement, other specified and unspecified vessels"
00.70,Rev hip repl-acetab/fem,"Revision of hip replacement, both acetabular and femoral components"
00.71,Rev hip repl-acetab comp,"Revision of hip replacement, acetabular component"
00.72,Rev hip repl-fem comp,"Revision of hip replacement, femoral component"
00.73,Rev hip repl-liner/head,"Revision of hip replacement, acetabular liner and/or femoral head only"
00.74,"Hip surface, metal/poly","Hip bearing surface, metal-on-polyethylene"
00.75,"Hip surface, metal/metal","Hip bearing surface, metal-on-metal"
15.11,One extraoc mus recess,Recession of one extraocular muscle
00.76,"Hip surface, cermc/cermc","Hip bearing surface, ceramic-on-ceramic"
00.77,"Hip surface, cermc/poly","Hip bearing surface, ceramic-on-polyethylene"
00.80,Rev knee replacemt-total,"Revision of knee replacement, total (all components)"
00.81,Rev knee repl-tibia comp,"Revision of knee replacement, tibial component"
00.82,Rev knee repl-femur comp,"Revision of knee replacement, femoral component"
00.83,Rev knee replace-patella,"Revision of knee replacement, patellar component"
00.84,Rev knee repl-tibia lin,"Revision of total knee replacement, tibial insert (liner)"
00.85,"Resrf hip,total-acet/fem","Resurfacing hip, total, acetabulum and femoral head"
00.86,"Resrf hip,part-fem head","Resurfacing hip, partial, femoral head"
00.87,"Resrf hip,part-acetablum","Resurfacing hip, partial, acetabulum"
00.91,Trnsplnt live rel donor,Transplant from live related donor
00.92,Trnsplnt live nonrel don,Transplant from live non-related donor
00.93,Transplant cadaver donor,Transplant from cadaver
00.94,Intra-op neurophys montr,Intra-operative neurophysiologic monitoring
00.95,Injct/infus glucarpidase,Injection or infusion of glucarpidase
01.01,Cisternal puncture,Cisternal puncture
01.02,Ventricl shunt tube punc,Ventriculopuncture through previously implanted catheter
01.09,Cranial puncture NEC,Other cranial puncture
01.10,Intracran pressure montr,Intracranial pressure monitoring
01.11,Clos cereb meninges bx,Closed [percutaneous] [needle] biopsy of cerebral meninges
01.12,Open cereb meninges bx,Open biopsy of cerebral meninges
01.13,Closed brain biopsy,Closed [percutaneous] [needle] biopsy of brain
01.14,Open brain biopsy,Open biopsy of brain
01.15,Skull biopsy,Biopsy of skull
01.16,Intracranial 02 monitor,Intracranial oxygen monitoring
01.17,Brain temp monitoring,Brain temperature monitoring
01.18,Other brain dx procedure,Other diagnostic procedures on brain and cerebral meninges
01.19,Other skull dx procedure,Other diagnostic procedures on skull
01.20,Imp/repl brain pulse gen,Cranial implantation or replacement of neurostimulator pulse generator
01.21,Cranial sinus i & d,Incision and drainage of cranial sinus
