FIELD_NAME,LENGTH,START_POSITION,END_POSITION,RFA_1,RFA_2,RFA_3,RFA_4,RFA_5,RFA_6,RFA_7,RFA_8,RFA_9,RFA_10,DEFAULT_VALUE,DATA_TYPE,FIELD_DESCRIPTION,CONSISTENCY,APPLICABLE_CONDITION_EXPRESSION,DISPLAY_VALUE
REC_ID,2,1,2,true,false,true,true,true,true,true,true,true,false,B1,,Record ID,,,
REC_TYPE,2,3,4,false,false,false,false,false,false,false,false,false,false,,,Record Type Code,1.  Always blank at present; may be used in future versions.,,
LOCK_DATE,8,5,12,false,false,false,false,false,false,false,false,false,false,,,Assessment Lock Date,"1.  Beginning with Version 1.50 of the data specs, this field is no longer active and is now blank filler.  Agencies may continue to use this field if they wish, but the contents of this field will be ignored by the State System.",,
CORRECTION_NUM,2,13,14,true,false,true,true,true,true,true,true,true,false,00,,Correction Number for Record,"*1.  For the original submission of a record use 00 (zero, zero) as the value.  If correction records are submitted, increment this count with each correction: 01, 02, 03.*2.  A record will be rejected based upon CORRECTION_NUM if EITHER of the following two conditions apply:   a.  If there are NO MATCHING RECORDS on the state database and CORRECTION_NUM is not equal to 00; or   b.  If there are ONE OR MORE MATCHING RECORDS on the state database, and CORRECTION_NUM is not one integer greater than the greatest CORRECTION_NUM among the matching state database records.""Matching records"" are defined as records which meet ALL FOUR of the following conditions:   -identical agency (HHA_AGENCY_ID);   -identical reason for assessment (M0100_ASSMT_REASON);   -identical effective date (M0030_START_CARE_DT for a start of care record, M0032_ROC_DT for a resumption of care record, M0090_INFO_COMPLETED_DT for a recertification or other follow-up record, and M0906_DC_TRAN_DTH_DT for a transfer to inpatient facility, death at home, or discharge record);   -the resident is identified as the same resident on the basis of name (M0040_PAT_LNAME and M0040_PAT_FNAME), gender (M0069_PAT_GENDER), birthdate (M0066_PAT_BIRTH_DT), and Social Security Number (M0064_SSN).",,
ACY_DOC_CD,8,15,22,true,false,true,true,true,true,true,true,true,false,,,Document ID Code (Agency Use),"1.  Optional item--can be used by agency for unique identification of record and tracking of records submitted to the state.  If this code is used, it is recommended that it be included on both electronic and paper copies of the record.",,
VERSION_CD1,12,23,34,true,false,true,true,true,true,true,true,true,false,C-072009,,Version Completed Code,1.  This is the version of OASIS data set which was actually completed.  The current version is C-072009.,,
VERSION_CD2,5,35,39,true,false,true,true,true,true,true,true,true,false,02.00,,Layout Submitted Version Code,"*1.  This field must contain the version number for the data specifications used for submission.  For assessments where M0090_INFO_COMPLETED_DT is greater than or equal to ""20100101"" (01/01/2010), the only allowable value for VERSION_CD2 is ""02.00"" (the current version) (left justified, blank filled).  For assessments where M0090_INFO_COMPLETED_DT is less than or equal to ""20091231"" (12/31/2009), prior versions of the data specs apply.",,
SFTW_ID,9,40,48,true,false,true,true,true,true,true,true,true,false,,,Software Vendor or Agent Tax ID,,,
SFT_VER,5,49,53,true,false,true,true,true,true,true,true,true,false,,,Software Version,"1.  This is the software version code for the agency""s OASIS software.  This code should be useful when resolving problems with the agency""s OASIS software.",,
HHA_AGENCY_ID,16,54,69,true,false,true,true,true,true,true,true,true,false,,,Unique HHA Agency ID Code,*1.  HHA_AGENCY_ID in the header record must match HHA_AGENCY_ID in every body record.,,
PAT_ID,14,70,83,true,false,true,true,true,true,true,true,true,false,,,Unique Patient ID Code,1.  Leave blank unless the state has provided this code to the HHA and requires that it be submitted.,,
ST_CODE,2,84,85,false,false,false,false,false,false,false,false,false,false,,,State ID Code,,,
ST_ERR_CNT,4,86,89,false,false,false,false,false,false,false,false,false,false,,,State Error Count (Number of Fields),,,
ST_COR,1,90,90,false,false,false,false,false,false,false,false,false,false,,,State Correction/Original Sequence No.,,,
ST_PMT_COR,1,91,91,false,false,false,false,false,false,false,false,false,false,,,State Payment Correction Indicator,,,
ST_KEY_COR,1,92,92,false,false,false,false,false,false,false,false,false,false,,,State Key Correction Indicator,,,
ST_DELETE,1,93,93,false,false,false,false,false,false,false,false,false,false,,,State Deleted Record Flag,,,
MC_COR,1,94,94,false,false,false,false,false,false,false,false,false,false,,,Medicare Correction/Original Sequence No.,,,
MC_PMT_COR,1,95,95,false,false,false,false,false,false,false,false,false,false,,,Medicare Payment Correction Indicator,,,
MC_KEY_COR,1,96,96,false,false,false,false,false,false,false,false,false,false,,,Medicare Key Correction Indicator,,,
MASK_VERSION_CD,20,97,116,true,false,true,true,true,true,true,true,true,false,,,Masking algorithm version code,"1.  Beginning with Version 2.00 of the data specs, this field is no longer active and is now blank filler.  Agencies may continue to use this field if they wish, but the contents of this field will be ignored by the Submission System.",,
CNT_FILLER,7,117,123,false,false,false,false,false,false,false,false,false,false,,,Control Section Filler (Future Use),,,
M0010_CCN,6,124,129,true,false,true,true,true,true,true,true,true,false,,,(M0010) CMS Certification Number,"1.  If the HHA has a CMS Certification number, it must be entered in this field.  Otherwise enter spaces.*2.  M0010_CCN must match FED_ID on the header record.",,
ITEM_FILLER12,15,130,144,false,false,false,false,false,false,false,false,false,false,,,Item Filler,,,
M0014_BRANCH_STATE,2,145,146,true,false,true,true,true,true,true,true,true,false,,,(M0014) Branch State,"*1.  If a standard branch ID (i.e., not N or P) is submitted, then M0014_BRANCH_STATE cannot be blank.2.  M0014_BRANCH_STATE should contain the state code for the State where the agency branch office is located.",,
