FIELD_NAME,LENGTH,START_POSITION,END_POSITION,DEFAULT_VALUE,CONSISTENCY,APPLICABLE_CONDITION_EXPRESSION
REC_ID,2,1,2,A1,,
FED_ID,6,3,8,,,
FILLER1,4,9,12,,,
ST_ID,15,13,27,,,
HHA_AGENCY_ID,16,28,43,,,
ACY_NAME,30,44,73,,,
ACY_ADDR_1,30,74,103,,,
ACY_ADDR_2,30,104,133,,,
ACY_CITY,20,134,153,,,
ACY_ST,2,154,155,,,
ACY_ZIP,11,156,166,,,
ACY_CNTCT,30,167,196,,,
ACY_PHONE,10,197,206,,,
ACY_EXTEN,5,207,211,,,
AGT_ID,9,212,220,,,
AGT_NAME,30,221,250,,,
AGT_ADDR_1,30,251,280,,,
AGT_ADDR_2,30,281,310,,,
AGT_CITY,20,311,330,,,
AGT_ST,2,331,332,,,
AGT_ZIP,11,333,343,,,
AGT_CNTCT,30,344,373,,,
AGT_PHONE,10,374,383,,,
AGT_EXTEN,5,384,388,,,
SFW_ID,9,389,397,,,
SFW_NAME,30,398,427,,,
SFW_ADDR_1,30,428,457,,,
SFW_ADDR_2,30,458,487,,,
SFW_CITY,20,488,507,,,
SFW_ST,2,508,509,,,
SFW_ZIP,11,510,520,,,
SFW_CNTCT,30,521,550,,,
SFW_PHONE,10,551,560,,,
SFW_EXTEN,5,561,565,,,
FILE_DT,8,566,573,,,
TEST_SW,1,574,574,,,
NATL_PROV_ID,10,575,584,,,
HDR_FL,861,585,1445,,,
DATA_END,1,1446,1446,%,,
CRG_RTN,1,1447,1447,,,
LN_FD,1,1448,1448,,,
