Description,Narrative
A ORDER - ADMISSION,"PLEASE ADMIT THIS PATIENT FOR EVALUATION & TREATMENT FOR THE FOLLOWING DISCIPLINES

SN, PT, HHA,, OT, ST, MSW, TO EVAL AND TREAT FOR THE FOLLOWING CONDITIONS:

PRIMARY DIAGNOSIS:_____________                  SECONDARY DIAGNOSIS:____________"
A ORDER - NEW MEDICAITON(S),"As of ____/____/201_ the MD has added the following medication(s):

                      ___mg for the following condition:   

                      ___mg for the following condition:  

                       ___mg for the following condition:  
 
                        ___mg for the following condition:   

                      ___mg for the following condition:  

                       ___mg for the following condition:  "
A ORDER - POST HOSPITAL,"Patient was  discharged from the hospital on ______/______/201_.  Please readmit patient for Home Health care for SN, PT, HHA, OT, ST, and MSW for the following conditions:

1._________________________

2._________________________

OTHER:

Date that orders were received. "
A ORDER - PT/INR ORDERS,"Current DOSE:
DATE/TIME:                     PT Level INR Level Symptoms
  
DOSE SUN:  M: TU: W: TH: F: SAT:

NEW DOSE:
DATE/TIME:                       PT Level INR Level Symptoms
  
DOSE SUN:  M: DOSE SUN:  M: DOSE SUN: 

REPEAT INR:_____________     INR Goal Range:________________     PT Goal Range:___________

Consulting Physician:____________________________   Specialty:__________________________

Received by:________________         Date:___________           Time:_________AM/PM

PRIMARY MD:________________________
Patient/Caregiver  Notified   ________________    Date:___________           Time:_________AM/PM
Verbalized Comprehension YES/NO
"
A ORDER - RECERT ORDER,"PLEASE RE-CERTIFY THIS PATIENT FOR THE FOLLOWING HOME HEALTH SERVICES:
SN, PT, OT, HHA, MSW, ST TO EVAL AND TREAT FOR THE FOLLOWING CONDITIONS:

PRIMARY DIAGNOSIS:_____________                  SECONDARY DIAGNOSIS:____________

 GOALS MET                                                 PROGRESS TOWARD GOALS                                                              OTHER/DESCRIBE

SN      YES       NO                                       IMPROVED    SAME    REGRESSED

PT:      YES       NO                                       IMPROVED    SAME    REGRESSED

HHA   YES       NO                                       IMPROVED    SAME    REGRESSED                                   

OT      YES       NO                                       IMPROVED    SAME    REGRESSED

ST:      YES       NO                                       IMPROVED    SAME    REGRESSED

MSW  YES       NO                                       IMPROVED    SAME    REGRESSED

"
A ORDER - RESTICTION NO BP TO LT ARM,THIS PATIENT MAY NOT HAVE BLOOD PRESSURE TAKEN ON THE LEFT ARM.
A ORDER - RESTICTION TO BP TO RT ARM,THIS PATIENT MAY NOT HAVE BLOOD PRESSURE TAKEN ON THE RIGHT ARM.
A ORDER - WOUND CARE (PT),"PT  for wound care to {LOCATION}, using aeseptic technique, as follows: cleanse with ""sterile saline/water/cleanser of choice"":______________________  

Pat dry, treat wound base with ___________________ 

Apply PRIMARY DRESSING  (alginate)_____________  SECONDARY DRESSING______________

Secure dressing with______________ 

Apply COMPRESSION:   stockings, ted hose , ace wraps to   { LOCATION/S }          

SCHEDULE FREQ  as follows:    "
A ORDER - WOUND CARE (SN),"SN  for wound care to {LOCATION}, using aeseptic technique, as follows: cleanse with ""sterile saline/water/cleanser of choice"":______________________  

Pat dry, treat wound base with ___________________ 

Apply PRIMARY DRESSING  (alginate)_____________  SECONDARY DRESSING______________

Secure dressing with______________ 

Apply COMPRESSION:   stockings, ted hose , ace wraps to   { LOCATION/S }          

SCHEDULE FREQ  as follows:    "
A ORDER- MEDICATION MODIFICATION,"MEDICATION UPDATE:

AS OF _______/201_ THE PATIENT IS NO LONGER TAKING________________________.

AS OF _______/201_ THE PATIENT IS CURRENTLY TAKING________________________."
ADDITIONAL - FALL PRECAUTIONS,"1. SHOES: Discussed with PT/CG the need to wear proper shoes that have low heels with rubber or non-skid soles. Note: Socks can be slippery so wear shoes even when home. Do not wear shoes that are falling apart.
2. FEET: Advised PT/CG Certain illnesses and injuries can cause problems with ambulation so walk slowly and with caution if there is any loss of sensation, numbness, tingling, or other injuries to the feet.
3. PETS: The PT/CG place food and water bowls out of common walkways and make sure to pick up toys. Suggested to PT/ CG to attach a bell to pet’s collar.. The PT/CG will walk pets in familiar areas with level ground.
4. LIGHTING: Informed PT/CG to keep home well lit to enable seeing clearly items in pathway. 
5. RUGS: Cautioned PT/CG to avoid using area rugs or any loose carpeting (especially on or near stairs).
6. FURNITURE: Encouraged PT/CG to arrange furniture with plenty of room for walking, especially if using a walker or other assistive device. 
7. ASSISTIVE DEVICE: Cautioned PT/CG to always use prescribed assistive devices and keep in good repair.
8. MEDICATIONS: Explained to PT/CG the side-effects of {any} medications that causes dizziness, weakness, etc.. 
9. POSITIONAL CHANGES: Advised PT/CG to make slow positional changes after sitting or lying which may cause dizziness or to become lightheaded. If experiencing dizziness, ask for help getting up and walking.
10. STAIRS:  Suggested to Pt/CG to mark nosings of each tread and provide adequate lighting on stairs to make it easy to see different steps.  Use caution and provide handrails on both sides of the stairs. Use secure gates to prevent unintended use of stairs.  Further suggested, if possible, to make a bedroom on the lower level to avoid stairs during illness. 
11. COGNITIVE IMPAIRMENT: Discussed with PT/CG that {any} recent changes/decline in overall cognitive ability causes problems especially if the patient is notable to understand the nature of the injury/illness. 
12. LACK OF SUPERVISION: Advised CG/PT to attain a sitter or have family members on shifts to have patient be supervised around the clock if possible.
"
