code,Name,State,CBSA,wage_index
45230,Callahan, Texas  ,10180,0.8324
45721,Jones, Texas  ,10180,0.8324
45911,Taylor, Texas  ,10180,0.8324
40020,Aguada, Puerto Rico  ,10380,0.3532
40030,Aguadilla, Puerto Rico  ,10380,0.3532
40060,Anasco, Puerto Rico  ,10380,0.3532
40350,Isabela, Puerto Rico  ,10380,0.3532
40400,Lares, Puerto Rico  ,10380,0.3532
40490,Moca, Puerto Rico  ,10380,0.3532
40580,Rincon, Puerto Rico  ,10380,0.3532
40660,San Sebastian, Puerto Rico  ,10380,0.3532
36680,Portage, Ohio,10420,0.8729
36780,Summit, Ohio,10420,0.8729
11020,Baker, Georgia  ,10500,0.8435
11390,Dougherty, Georgia  ,10500,0.8435
11670,Lee, Georgia  ,10500,0.8435
11885,Terrell, Georgia  ,10500,0.8435
11980,Worth, Georgia  ,10500,0.8435
33000,Albany, New York  ,10580,0.8647
33600,Rensselaer, New York  ,10580,0.8647
33640,Saratoga, New York  ,10580,0.8647
33650,Schenectady, New York  ,10580,0.8647
33660,Schoharie, New York  ,10580,0.8647
32000,Bernalillo, New Mexico  ,10740,0.9542
32210,Sandoval, New Mexico  ,10740,0.9542
32280,Torrance, New Mexico  ,10740,0.9542
32300,Valencia, New Mexico  ,10740,0.9542
19210,Grant, Louisiana  ,10780,0.7857
19390,Rapides, Louisiana  ,10780,0.7857
39190,Carbon, Pennsylvania  ,10900,0.9084
39470,Lehigh, Pennsylvania  ,10900,0.9084
39590,Northampton, Pennsylvania  ,10900,0.9084
31390,Warren, New Jersey,10900,0.9084
39120,Blair, Pennsylvania  ,11020,0.8898
45050,Armstrong, Texas  ,11100,0.8506
45251,Carson, Texas  ,11100,0.8506
45860,Potter, Texas  ,11100,0.8506
45871,Randall, Texas  ,11100,0.8506
16840,Story, Iowa  ,11180,0.9595
2020,Anchorage, Alaska  ,11260,1.2147
2170,Matanuska, Alaska  ,11260,1.2147
15470,Madison, Indiana  ,11300,0.9547
42030,Anderson, S Carolina  ,11340,0.8929
23800,Washtenaw, Michigan  ,11460,1.0115
1070,Calhoun, Alabama  ,11500,0.7539
52070,Calumet, Wisconsin  ,11540,0.9268
52430,Outagamie, Wisconsin  ,11540,0.9268
34100,Buncombe, N Carolina  ,11700,0.8555
34430,Haywood, N Carolina  ,11700,0.8555
34440,Henderson, N Carolina  ,11700,0.8555
34570,Madison, N Carolina  ,11700,0.8555
11260,Clarke, Georgia  ,12020,0.9488
11720,Madison, Georgia  ,12020,0.9488
11800,Oconee, Georgia  ,12020,0.9488
11801,Oglethorpe, Georgia  ,12020,0.9488
11050,Barrow, Georgia  ,12060,0.9517
11060,Bartow, Georgia  ,12060,0.9517
11160,Butts, Georgia  ,12060,0.9517
11190,Carroll, Georgia  ,12060,0.9517
11250,Cherokee, Georgia  ,12060,0.9517
11280,Clayton, Georgia  ,12060,0.9517
11290,Cobb, Georgia  ,12060,0.9517
11320,Coweta, Georgia  ,12060,0.9517
11350,Dawson, Georgia  ,12060,0.9517
11370,De Kalb, Georgia  ,12060,0.9517
11400,Douglas, Georgia  ,12060,0.9517
11451,Fayette, Georgia  ,12060,0.9517
11461,Forsyth, Georgia  ,12060,0.9517
11470,Fulton, Georgia  ,12060,0.9517
11530,Gwinnett, Georgia  ,12060,0.9517
11570,Haralson, Georgia  ,12060,0.9517
11590,Heard, Georgia  ,12060,0.9517
11591,Henry, Georgia  ,12060,0.9517
11611,Jasper, Georgia  ,12060,0.9517
11651,Lamar, Georgia  ,12060,0.9517
11740,Meriwether, Georgia  ,12060,0.9517
11790,Newton, Georgia  ,12060,0.9517
11810,Paulding, Georgia  ,12060,0.9517
11812,Pickens, Georgia  ,12060,0.9517
11821,Pike, Georgia  ,12060,0.9517
11841,Rockdale, Georgia  ,12060,0.9517
11860,Spalding, Georgia  ,12060,0.9517
11930,Walton, Georgia  ,12060,0.9517
31000,Atlantic, New Jersey,12100,1.1977
1400,Lee, Alabama  ,12220,0.7437
42010,Aiken, S Carolina  ,12260,0.9373
11150,Burke, Georgia  ,12260,0.9373
11310,Columbia, Georgia  ,12260,0.9373
42180,Edgefield, S Carolina  ,12260,0.9373
11702,Mc Duffie, Georgia  ,12260,0.9373
11840,Richmond, Georgia  ,12260,0.9373
45100,Bastrop, Texas  ,12420,0.9746
45223,Caldwell, Texas  ,12420,0.9746
45631,Hays, Texas  ,12420,0.9746
45940,Travis, Texas  ,12420,0.9746
45970,Williamson, Texas  ,12420,0.9746
5140,Kern, California  ,12540,1.1611
21010,Anne Arundel, Maryland  ,12580,1.0147
21030,Baltimore City, Maryland  ,12580,1.0147
21020,Baltimore, Maryland  ,12580,1.0147
21060,Carroll, Maryland  ,12580,1.0147
21120,Harford, Maryland  ,12580,1.0147
21130,Howard, Maryland  ,12580,1.0147
21170,Queen Annes, Maryland  ,12580,1.0147
20090,Penobscot, Maine  ,12620,1.0184
22000,Barnstable, Massachusetts  ,12700,1.2843
19020,Ascension, Louisiana  ,12940,0.8147
19160,East Baton Rouge, Louisiana  ,12940,0.8147
19180,East Feliciana, Louisiana  ,12940,0.8147
19230,Iberville, Louisiana  ,12940,0.8147
19310,Livingston, Louisiana  ,12940,0.8147
19380,Pointe Coupee, Louisiana  ,12940,0.8147
19450,St Helena, Louisiana  ,12940,0.8147
19600,West Baton Rouge, Louisiana  ,12940,0.8147
19620,West Feliciana, Louisiana  ,12940,0.8147
23120,Calhoun, Michigan  ,12980,0.9912
23080,Bay, Michigan  ,13020,0.9181
45600,Hardin, Texas  ,13140,0.8533
45700,Jefferson, Texas  ,13140,0.8533
45840,Orange, Texas  ,13140,0.8533
50360,Whatcom, Washington  ,13380,1.1415
38080,Deschutes, Oregon  ,13460,1.1119
21100,Frederick, Maryland  ,13644,1.0374
21150,Montgomery, Maryland  ,13644,1.0374
27040,Carbon, Montana  ,13740,0.8737
27550,Yellowstone, Montana  ,13740,0.8737
