Code,Name,State,CBSA Code,Wage Index
45230,"Callahan", Texas  ,50126,0.8324
45721,"Jones", Texas  ,50126,0.8324
45911,"Taylor", Texas  ,50161,0.8324
40020,"Aguada", Puerto Rico  ,50162,0.3532
40030,"Aguadilla", Puerto Rico  ,50162,0.3532
40060,"Anasco", Puerto Rico  ,50276,0.3532
40350,"Isabela", Puerto Rico  ,50110,0.3532
40400,"Lares", Puerto Rico  ,50110,0.3532
40490,"Moca", Puerto Rico  ,50162,0.3532
40580,"Rincon", Puerto Rico  ,50110,0.3532
40660,"San Sebastian", Puerto Rico  ,50110,0.3532
36680,"Portage", Ohio,10420,0.8729
36780,"Summit", Ohio,10420,0.8729
11020,"Baker", Georgia  ,50021,0.8435
11390,"Dougherty", Georgia  ,50163,0.8435
11670,"Lee", Georgia  ,50163,0.8435
11885,"Terrell", Georgia  ,50021,0.8435
11980,"Worth", Georgia  ,50021,0.8435
33000,"Albany", New York  ,10580,0.8647
33600,"Rensselaer", New York  ,10580,0.8647
33640,"Saratoga", New York  ,10580,0.8647
33650,"Schenectady", New York  ,10580,0.8647
33660,"Schoharie", New York  ,10580,0.8647
32000,"Bernalillo", New Mexico  ,50165,0.9542
32210,"Sandoval", New Mexico  ,50165,0.9542
32280,"Torrance", New Mexico  ,50090,0.9542
32300,"Valencia", New Mexico  ,50165,0.9542
19210,"Grant", Louisiana  ,50061,0.7857
19390,"Rapides", Louisiana  ,50166,0.7857
39190,"Carbon", Pennsylvania  ,50167,0.9084
39470,"Lehigh", Pennsylvania  ,50167,0.9084
39590,"Northampton", Pennsylvania  ,50167,0.9084
31390,"Warren", New Jersey,50288,0.9084
39120,"Blair", Pennsylvania  ,11020,0.8898
45050,"Armstrong", Texas  ,50127,0.8506
45251,"Carson", Texas  ,50127,0.8506
45860,"Potter", Texas  ,50168,0.8506
45871,"Randall", Texas  ,50168,0.8506
16840,"Story", Iowa  ,11180,0.9595
2020,"Anchorage", Alaska  ,50169,1.2147
2170,"Matanuska", Alaska  ,50006,1.2147
15470,"Madison", Indiana  ,11300,0.9547
42030,"Anderson", South Carolina  ,11340,0.8929
23800,"Washtenaw", Michigan  ,11460,1.0115
1070,"Calhoun", Alabama  ,11500,0.7539
52070,"Calumet", Wisconsin  ,11540,0.9268
52430,"Outagamie", Wisconsin  ,11540,0.9268
34100,"Buncombe", North Carolina  ,50173,0.8555
34430,"Haywood", North Carolina  ,50093,0.8555
34440,"Henderson", North Carolina  ,50093,0.8555
34570,"Madison", North Carolina  ,50173,0.8555
11260,"Clarke", Georgia  ,50174,0.9488
11720,"Madison", Georgia  ,50174,0.9488
11800,"Oconee", Georgia  ,50174,0.9488
11801,"Oglethorpe", Georgia  ,50022,0.9488
11050,"Barrow", Georgia  ,50175,0.9517
11060,"Bartow", Georgia  ,50175,0.9517
11160,"Butts", Georgia  ,50023,0.9517
11190,"Carroll", Georgia  ,50175,0.9517
11250,"Cherokee", Georgia  ,50175,0.9517
11280,"Clayton", Georgia  ,50175,0.9517
11290,"Cobb", Georgia  ,50175,0.9517
11320,"Coweta", Georgia  ,50175,0.9517
11350,"Dawson", Georgia  ,50023,0.9517
11370,"De Kalb", Georgia  ,50175,0.9517
11400,"Douglas", Georgia  ,50175,0.9517
11451,"Fayette", Georgia  ,50175,0.9517
11461,"Forsyth", Georgia  ,50175,0.9517
11470,"Fulton", Georgia  ,50175,0.9517
11530,"Gwinnett", Georgia  ,50175,0.9517
11570,"Haralson", Georgia  ,50023,0.9517
11590,"Heard", Georgia  ,50023,0.9517
11591,"Henry", Georgia  ,50175,0.9517
11611,"Jasper", Georgia  ,50023,0.9517
11651,"Lamar", Georgia  ,50023,0.9517
11740,"Meriwether", Georgia  ,50023,0.9517
11790,"Newton", Georgia  ,50175,0.9517
11810,"Paulding", Georgia  ,50175,0.9517
11812,"Pickens", Georgia  ,50175,0.9517
11821,"Pike", Georgia  ,50023,0.9517
11841,"Rockdale", Georgia  ,50175,0.9517
11860,"Spalding", Georgia  ,50175,0.9517
11930,"Walton", Georgia  ,50175,0.9517
31000,"Atlantic", New Jersey,12100,1.1977
1400,"Lee", Alabama  ,12220,0.7437
42010,"Aiken", South Carolina  ,50176,0.9373
11150,"Burke", Georgia  ,50024,0.9373
11310,"Columbia", Georgia  ,50176,0.9373
42180,"Edgefield", South Carolina  ,50176,0.9373
11702,"Mc Duffie", Georgia  ,50176,0.9373
11840,"Richmond", Georgia  ,50176,0.9373
45100,"Bastrop", Texas  ,12420,0.9746
45223,"Caldwell", Texas  ,12420,0.9746
45631,"Hays", Texas  ,12420,0.9746
45940,"Travis", Texas  ,12420,0.9746
45970,"Williamson", Texas  ,12420,0.9746
5140,"Kern", California  ,12540,1.1611
21010,"Anne Arundel", Maryland  ,12580,1.0147
21030,"Baltimore City", Maryland  ,12580,1.0147
21020,"Baltimore", Maryland  ,12580,1.0147
21060,"Carroll", Maryland  ,12580,1.0147
21120,"Harford", Maryland  ,12580,1.0147
21130,"Howard", Maryland  ,12580,1.0147
21170,"Queen Annes", Maryland  ,12580,1.0147
20090,"Penobscot", Maine  ,12620,1.0184
22000,"Barnstable", Massachusetts  ,12700,1.2843
19020,"Ascension", Louisiana  ,50177,0.8147
19160,"East Baton Rouge", Louisiana  ,50177,0.8147
19180,"East Feliciana", Louisiana  ,50062,0.8147
19230,"Iberville", Louisiana  ,50062,0.8147
19310,"Livingston", Louisiana  ,50177,0.8147
19380,"Pointe Coupee", Louisiana  ,50062,0.8147
19450,"St Helena", Louisiana  ,50062,0.8147
19600,"West Baton Rouge", Louisiana  ,50177,0.8147
19620,"West Feliciana", Louisiana  ,50062,0.8147
23120,"Calhoun", Michigan  ,12980,0.9912
23080,"Bay", Michigan  ,13020,0.9181
45600,"Hardin", Texas  ,13140,0.8533
45700,"Jefferson", Texas  ,13140,0.8533
45840,"Orange", Texas  ,13140,0.8533
50360,"Whatcom", Washington  ,13380,1.1415
38080,"Deschutes", Oregon  ,13460,1.1119
21100,"Frederick", Maryland  ,13644,1.0374
21150,"Montgomery", Maryland  ,13644,1.0374
27040,"Carbon", Montana  ,50083,0.8737
27550,"Yellowstone", Montana  ,50179,0.8737
33030,"Broome", New York  ,13780,0.8707
33720,"Tioga", New York  ,13780,0.8707
1030,"Bibb", Alabama  ,50002,0.8516
1040,"Blount", Alabama  ,50182,0.8516
1100,"Chilton", Alabama  ,50002,0.8516
1360,"Jefferson", Alabama  ,50182,0.8516
1580,"Shelby", Alabama  ,50182,0.8516
1570,"St Clair", Alabama  ,50182,0.8516
1630,"Walker", Alabama  ,50002,0.8516
35070,"Burleigh", North Dakota  ,13900,0.7261
35290,"Morton", North Dakota  ,13900,0.7261
49350,"Giles", Virginia  ,13980,0.8348
49600,"Montgomery", Virginia  ,13980,0.8348
49770,"Pulaski", Virginia  ,13980,0.8348
49771,"Radford City", Virginia  ,13980,0.8348
15270,"Greene", Indiana  ,50037,0.8752
15520,"Monroe", Indiana  ,50183,0.8752
15590,"Owen", Indiana  ,50037,0.8752
14650,"Mclean", Illinois  ,14060,0.9502
13000,"Ada", Idaho  ,50184,0.8897
13070,"Boise", Idaho  ,50027,0.8897
13130,"Canyon", Idaho  ,50184,0.8897
13220,"Gem", Idaho  ,50027,0.8897
13360,"Owyhee", Idaho  ,50027,0.8897
22130,"Norfolk", Massachusetts  ,14484,1.2378
22150,"Plymouth", Massachusetts  ,14484,1.2378
22160,"Suffolk", Massachusetts  ,14484,1.2378
6060,"Boulder", Colorado  ,14500,1.0574
18291,"Edmonson", Kentucky,14540,0.8665
18986,"Warren", Kentucky,14540,0.8665
50170,"Kitsap", Washington  ,14740,1.0829
7000,"Fairfield", Connecticut  ,14860,1.3170
45240,"Cameron", Texas  ,15180,0.8612
11110,"Brantley", Georgia  ,15260,0.8792
11490,"Glynn", Georgia  ,15260,0.8792
11703,"McIntosh", Georgia  ,15260,0.8792
33240,"Erie", New York  ,15380,0.9999
33500,"Niagara", New York  ,15380,0.9999
34000,"Alamance", North Carolina  ,15500,0.8485
47030,"Chittenden", Vermont  ,15540,0.9997
47050,"Franklin", Vermont  ,15540,0.9997
47060,"Grand Isle", Vermont  ,15540,0.9997
22090,"Middlesex", Massachusetts  ,15764,1.1262
31150,"Burlington", New Jersey,15804,1.0474
31160,"Camden", New Jersey,15804,1.0474
31220,"Gloucester", New Jersey,15804,1.0474
36090,"Carroll", Ohio,15940,0.8834
36770,"Stark", Ohio,15940,0.8834
10350,"Lee", Florida  ,15980,0.9153
14010,"Alexander", Illinois  ,50031,0.8860
26080,"Bollinger", Missouri  ,99926,0.8860
26150,"Cape Girardeau", Missouri  ,99926,0.8860
29120,"Carson City", Nevada  ,16180,1.0559
53120,"Natrona", Wyoming  ,16220,1.0143
16050,"Benton", Iowa  ,50045,0.8944
16520,"Jones", Iowa  ,50045,0.8944
16560,"Linn", Iowa  ,50189,0.8944
14090,"Champaign", Illinois  ,50190,0.9907
14350,"Ford", Illinois  ,50032,0.9907
14820,"Piatt", Illinois  ,50032,0.9907
51020,"Boone", West Virginia  ,50155,0.8050
51070,"Clay", West Virginia  ,50155,0.8050
51190,"Kanawha", West Virginia  ,50191,0.8050
51210,"Lincoln", West Virginia  ,50155,0.8050
51390,"Putnam", West Virginia  ,50191,0.8050
42070,"Berkeley", South Carolina  ,16700,0.8820
42090,"Charleston", South Carolina  ,16700,0.8820
42170,"Dorchester", South Carolina  ,16700,0.8820
34030,"Anson", North Carolina  ,50094,0.9215
34120,"Cabarrus", North Carolina  ,50193,0.9215
34350,"Gaston", North Carolina  ,50193,0.9215
34590,"Mecklenburg", North Carolina  ,50193,0.9215
34890,"Union", North Carolina  ,50193,0.9215
42450,"York", South Carolina  ,50193,0.9215
49010,"Albemarle", Virginia  ,50194,0.9195
49191,"Charlottesville City", Virginia  ,50194,0.9195
49320,"Fluvanna", Virginia  ,50194,0.9195
49390,"Greene", Virginia  ,50194,0.9195
49620,"Nelson", Virginia  ,50146,0.9195
11200,"Catoosa", Georgia  ,50195,0.8678
11341,"Dade", Georgia  ,50195,0.8678
44320,"Hamilton", Tennessee  ,50195,0.8678
44570,"Marion", Tennessee  ,50195,0.8678
44760,"Sequatchie", Tennessee  ,50122,0.8678
11921,"Walker", Georgia  ,50195,0.8678
53100,"Laramie", Wyoming  ,16940,0.9730
14141,"Cook", Illinois  ,16974,1.0600
14170,"De Kalb", Illinois  ,16974,1.0600
14250,"Du Page", Illinois  ,16974,1.0600
14400,"Grundy", Illinois  ,16974,1.0600
14530,"Kane", Illinois  ,16974,1.0600
14550,"Kendall", Illinois  ,16974,1.0600
14640,"Mc Henry", Illinois  ,16974,1.0600
14989,"Will", Illinois  ,16974,1.0600
5030,"Butte", California  ,17020,1.1197
18070,"Boone", Kentucky,50197,0.9508
18110,"Bracken", Kentucky,50055,0.9508
36070,"Brown", Ohio,50197,0.9508
36080,"Butler", Ohio,50240,0.9508
18180,"Campbell", Kentucky,50197,0.9508
36120,"Clermont", Ohio,50197,0.9508
15140,"Dearborn", Indiana  ,50197,0.9508
15230,"Franklin", Indiana  ,50038,0.9508
18362,"Gallatin", Kentucky,50197,0.9508
18400,"Grant", Kentucky,50197,0.9508
36310,"Hamilton", Ohio,50197,0.9508
18580,"Kenton", Kentucky,50197,0.9508
15570,"Ohio", Indiana  ,50197,0.9508
18932,"Pendleton", Kentucky,50197,0.9508
36840,"Warren", Ohio,50197,0.9508
18230,"Christian", Kentucky,50198,0.8082
44620,"Montgomery", Tennessee  ,50198,0.8082
44800,"Stewart", Tennessee  ,50123,0.8082
18983,"Trigg", Kentucky,50056,0.8082
44050,"Bradley", Tennessee  ,17420,0.7592
44690,"Polk", Tennessee  ,17420,0.7592
36170,"Cuyahoga", Ohio,17460,0.9082
36280,"Geauga", Ohio,17460,0.9082
36440,"Lake", Ohio,17460,0.9082
36480,"Lorain", Ohio,17460,0.9082
36530,"Medina", Ohio,17460,0.9082
13270,"Kootenai", Idaho  ,17660,0.9218
45190,"Brazos", Texas  ,50187,0.9584
45221,"Burleson", Texas  ,50128,0.9584
45878,"Robertson", Texas  ,50128,0.9584
6200,"El Paso", Colorado  ,50200,0.9364
6590,"Teller", Colorado  ,50014,0.9364
26090,"Boone", Missouri  ,50201,0.8339
26440,"Howard", Missouri  ,50077,0.8339
42080,"Calhoun", South Carolina  ,50115,0.8560
42190,"Fairfield", South Carolina  ,50115,0.8560
42270,"Kershaw", South Carolina  ,50115,0.8560
42310,"Lexington", South Carolina  ,50202,0.8560
42390,"Richland", South Carolina  ,50202,0.8560
42400,"Saluda", South Carolina  ,50115,0.8560
11230,"Chattahoochee", Georgia  ,50203,0.8857
11580,"Harris", Georgia  ,50203,0.8857
11730,"Marion", Georgia  ,50025,0.8857
11780,"Muscogee", Georgia  ,50203,0.8857
1560,"Russell", Alabama  ,50203,0.8857
15020,"Bartholomew", Indiana  ,18020,0.9564
36210,"Delaware", Ohio,50204,0.9763
36230,"Fairfield", Ohio,50204,0.9763
36250,"Franklin", Ohio,50204,0.9763
36460,"Licking", Ohio,50204,0.9763
36500,"Madison", Ohio,50204,0.9763
36600,"Morrow", Ohio,50101,0.9763
36660,"Pickaway", Ohio,50204,0.9763
36810,"Union", Ohio,50101,0.9763
45030,"Aransas", Texas  ,50129,0.8591
45830,"Nueces", Texas  ,50205,0.8591
45885,"San Patricio", Texas  ,50205,0.8591
38010,"Benton", Oregon  ,18700,1.0715
10450,"Okaloosa", Florida  ,23020,0.8916
21000,"Allegany", Maryland  ,19060,0.8836
51280,"Mineral", West Virginia  ,19060,0.8836
45310,"Collin", Texas  ,50207,0.9835
45390,"Dallas", Texas  ,50207,0.9835
45400,"Delta", Texas  ,50130,0.9835
45410,"Denton", Texas  ,50207,0.9835
45470,"Ellis", Texas  ,50207,0.9835
45670,"Hunt", Texas  ,50207,0.9835
45730,"Kaufman", Texas  ,50207,0.9835
45879,"Rockwall", Texas  ,50207,0.9835
11772,"Murray", Georgia  ,19140,0.8828
11970,"Whitfield", Georgia  ,19140,0.8828
14982,"Vermilion", Illinois  ,19180,0.9977
49241,"Danville City", Virginia  ,19260,0.8218
49710,"Pittsylvania", Virginia  ,19260,0.8218
14450,"Henry", Illinois  ,50208,0.9145
14740,"Mercer", Illinois  ,50033,0.9145
14890,"Rock Island", Illinois  ,50208,0.9145
16810,"Scott", Iowa  ,50208,0.9145
36290,"Greene", Ohio,50209,0.9136
36560,"Miami", Ohio,50209,0.9136
36580,"Montgomery", Ohio,50209,0.9136
36690,"Preble", Ohio,50102,0.9136
1390,"Lawrence", Alabama  ,19460,0.7261
1510,"Morgan", Alabama  ,19460,0.7261
14660,"Macon", Illinois  ,19500,0.7993
10630,"Volusia", Florida  ,19660,0.8716
6000,"Adams", Colorado  ,50211,1.0469
6020,"Arapahoe", Colorado  ,50211,1.0469
6630,"Broomfield", Colorado  ,50211,1.0469
6090,"Clear Creek", Colorado  ,50015,1.0469
6150,"Denver", Colorado  ,50211,1.0469
6170,"Douglas", Colorado  ,50211,1.0469
6190,"Elbert", Colorado  ,50015,1.0469
6230,"Gilpin", Colorado  ,50015,1.0469
6290,"Jefferson", Colorado  ,50211,1.0469
6460,"Park", Colorado  ,50015,1.0469
16240,"Dallas", Iowa  ,50212,0.9616
16380,"Guthrie", Iowa  ,50046,0.9616
16600,"Madison", Iowa  ,50046,0.9616
16760,"Polk", Iowa  ,50212,0.9616
16900,"Warren", Iowa  ,50212,0.9616
23810,"Wayne", Michigan  ,19804,0.9361
1300,"Geneva", Alabama  ,50003,0.7398
1330,"Henry", Alabama  ,50003,0.7398
1340,"Houston", Alabama  ,50215,0.7398
8000,"Kent", Delaware  ,20100,0.9893
16300,"Dubuque", Iowa  ,20220,0.8662
24080,"Carlton", Minnesota  ,50070,1.0741
52150,"Douglas", Wisconsin  ,50216,1.0741
24680,"St Louis", Minnesota  ,50216,1.0741
34180,"Chatham", North Carolina  ,50307,0.9525
34310,"Durham", North Carolina  ,50307,0.9525
34670,"Orange", North Carolina  ,50307,0.9525
34720,"Person", North Carolina  ,50095,0.9525
52080,"Chippewa", Wisconsin  ,20740,0.9705
52170,"Eau Claire", Wisconsin  ,20740,0.9705
31270,"Middlesex", New Jersey,50279,1.0806
31290,"Monmouth", New Jersey,50282,1.0806
31310,"Ocean", New Jersey,50282,1.0806
31350,"Somerset", New Jersey,50279,1.0806
5120,"Imperial", California  ,20940,0.8602
18460,"Hardin", Kentucky,21060,0.8294
18610,"Larue", Kentucky,21060,0.8294
15190,"Elkhart", Indiana  ,21140,0.9097
33070,"Chemung", New York  ,21300,0.8205
45480,"El Paso", Texas  ,21340,0.8426
39320,"Erie", Pennsylvania  ,21500,0.7823
38190,"Lane", Oregon  ,21660,1.1454
15250,"Gibson", Indiana  ,50039,0.8401
