HIPPS Code,HHRG Weight,Supply Add-on,Rural Supply Add-on
1AFKS,0.8186,14.56,15
1AFKT,0.8186,52.58,54.16
1AFKU,0.8186,144.16,148.49
1AFKV,0.8186,214.19,220.61
1AFKW,0.8186,330.29,340.2
1AFKX,0.8186,568.06,585.11
1AFLS,0.9793,14.56,15
1AFLT,0.9793,52.58,54.16
1AFLU,0.9793,144.16,148.49
1AFLV,0.9793,214.19,220.61
1AFLW,0.9793,330.29,340.2
1AFLX,0.9793,568.06,585.11
1AFMS,1.1401,14.56,15
1AFMT,1.1401,52.58,54.16
1AFMU,1.1401,144.16,148.49
1AFMV,1.1401,214.19,220.61
1AFMW,1.1401,330.29,340.2
1AFMX,1.1401,568.06,585.11
1AFNS,1.3008,14.56,15
1AFNT,1.3008,52.58,54.16
1AFNU,1.3008,144.16,148.49
1AFNV,1.3008,214.19,220.61
1AFNW,1.3008,330.29,340.2
1AFNX,1.3008,568.06,585.11
1AFPS,1.4616,14.56,15
1AFPT,1.4616,52.58,54.16
1AFPU,1.4616,144.16,148.49
1AFPV,1.4616,214.19,220.61
1AFPW,1.4616,330.29,340.2
1AFPX,1.4616,568.06,585.11
1AGKS,1.0275,14.56,15
1AGKT,1.0275,52.58,54.16
1AGKU,1.0275,144.16,148.49
1AGKV,1.0275,214.19,220.61
1AGKW,1.0275,330.29,340.2
1AGKX,1.0275,568.06,585.11
1AGLS,1.1657,14.56,15
1AGLT,1.1657,52.58,54.16
1AGLU,1.1657,144.16,148.49
1AGLV,1.1657,214.19,220.61
1AGLW,1.1657,330.29,340.2
1AGLX,1.1657,568.06,585.11
1AGMS,1.3039,14.56,15
1AGMT,1.3039,52.58,54.16
1AGMU,1.3039,144.16,148.49
1AGMV,1.3039,214.19,220.61
1AGMW,1.3039,330.29,340.2
1AGMX,1.3039,568.06,585.11
1AGNS,1.4421,14.56,15
1AGNT,1.4421,52.58,54.16
1AGNU,1.4421,144.16,148.49
1AGNV,1.4421,214.19,220.61
1AGNW,1.4421,330.29,340.2
1AGNX,1.4421,568.06,585.11
1AGPS,1.5804,14.56,15
1AGPT,1.5804,52.58,54.16
1AGPU,1.5804,144.16,148.49
1AGPV,1.5804,214.19,220.61
1AGPW,1.5804,330.29,340.2
1AGPX,1.5804,568.06,585.11
1AHKS,1.1233,14.56,15
1AHKT,1.1233,52.58,54.16
1AHKU,1.1233,144.16,148.49
1AHKV,1.1233,214.19,220.61
1AHKW,1.1233,330.29,340.2
1AHKX,1.1233,568.06,585.11
1AHLS,1.252,14.56,15
1AHLT,1.252,52.58,54.16
1AHLU,1.252,144.16,148.49
1AHLV,1.252,214.19,220.61
1AHLW,1.252,330.29,340.2
1AHLX,1.252,568.06,585.11
1AHMS,1.3807,14.56,15
1AHMT,1.3807,52.58,54.16
1AHMU,1.3807,144.16,148.49
1AHMV,1.3807,214.19,220.61
1AHMW,1.3807,330.29,340.2
1AHMX,1.3807,568.06,585.11
1AHNS,1.5804,14.56,15
1AHNT,1.5804,52.58,54.16
1AHNU,1.5804,144.16,148.49
1AHNV,1.5804,214.19,220.61
1AHNW,1.5804,330.29,340.2
1AHNX,1.5804,568.06,585.11
1AHPS,1.6381,14.56,15
1AHPT,1.6381,52.58,54.16
1AHPU,1.6381,144.16,148.49
1AHPV,1.6381,214.19,220.61
1AHPW,1.6381,330.29,340.2
1AHPX,1.6381,568.06,585.11
1BFKS,0.834,14.56,15
1BFKT,0.834,52.58,54.16
1BFKU,0.834,144.16,148.49
1BFKV,0.834,214.19,220.61
1BFKW,0.834,330.29,340.2
1BFKX,0.834,568.06,585.11
1BFLS,1.0302,14.56,15
1BFLT,1.0302,52.58,54.16
1BFLU,1.0302,144.16,148.49
1BFLV,1.0302,214.19,220.61
1BFLW,1.0302,330.29,340.2
1BFLX,1.0302,568.06,585.11
1BFMS,1.2265,14.56,15
1BFMT,1.2265,52.58,54.16
1BFMU,1.2265,144.16,148.49
1BFMV,1.2265,214.19,220.61
1BFMW,1.2265,330.29,340.2
1BFMX,1.2265,568.06,585.11
1BFNS,1.4228,14.56,15
1BFNT,1.4228,52.58,54.16
1BFNU,1.4228,144.16,148.49
1BFNV,1.4228,214.19,220.61
1BFNW,1.4228,330.29,340.2
1BFNX,1.4228,568.06,585.11
1BFPS,1.619,14.56,15
1BFPT,1.619,52.58,54.16
1BFPU,1.619,144.16,148.49
1BFPV,1.619,214.19,220.61
1BFPW,1.619,330.29,340.2
1BFPX,1.619,568.06,585.11
1BGKS,1.0429,14.56,15
1BGKT,1.0429,52.58,54.16
1BGKU,1.0429,144.16,148.49
1BGKV,1.0429,214.19,220.61
1BGKW,1.0429,330.29,340.2
1BGKX,1.0429,568.06,585.11
1BGLS,1.2166,14.56,15
1BGLT,1.2166,52.58,54.16
1BGLU,1.2166,144.16,148.49
1BGLV,1.2166,214.19,220.61
1BGLW,1.2166,330.29,340.2
1BGLX,1.2166,568.06,585.11
1BGMS,1.3903,14.56,15
1BGMT,1.3903,52.58,54.16
1BGMU,1.3903,144.16,148.49
1BGMV,1.3903,214.19,220.61
1BGMW,1.3903,330.29,340.2
1BGMX,1.3903,568.06,585.11
1BGNS,1.5641,14.56,15
1BGNT,1.5641,52.58,54.16
1BGNU,1.5641,144.16,148.49
1BGNV,1.5641,214.19,220.61
1BGNW,1.5641,330.29,340.2
1BGNX,1.5641,568.06,585.11
1BGPS,1.7378,14.56,15
1BGPT,1.7378,52.58,54.16
1BGPU,1.7378,144.16,148.49
1BGPV,1.7378,214.19,220.61
1BGPW,1.7378,330.29,340.2
1BGPX,1.7378,568.06,585.11
1BHKS,1.1387,14.56,15
1BHKT,1.1387,52.58,54.16
1BHKU,1.1387,144.16,148.49
1BHKV,1.1387,214.19,220.61
1BHKW,1.1387,330.29,340.2
1BHKX,1.1387,568.06,585.11
1BHLS,1.3029,14.56,15
1BHLT,1.3029,52.58,54.16
1BHLU,1.3029,144.16,148.49
1BHLV,1.3029,214.19,220.61
1BHLW,1.3029,330.29,340.2
1BHLX,1.3029,568.06,585.11
1BHMS,1.4671,14.56,15
1BHMT,1.4671,52.58,54.16
1BHMU,1.4671,144.16,148.49
1BHMV,1.4671,214.19,220.61
1BHMW,1.4671,330.29,340.2
1BHMX,1.4671,568.06,585.11
1BHNS,1.6313,14.56,15
1BHNT,1.6313,52.58,54.16
1BHNU,1.6313,144.16,148.49
1BHNV,1.6313,214.19,220.61
1BHNW,1.6313,330.29,340.2
1BHNX,1.6313,568.06,585.11
1BHPS,1.7956,14.56,15
1BHPT,1.7956,52.58,54.16
1BHPU,1.7956,144.16,148.49
1BHPV,1.7956,214.19,220.61
1BHPW,1.7956,330.29,340.2
1BHPW,1.7956,568.06,585.11
1CFKS,0.9071,14.56,15
1CFKT,0.9071,52.58,54.16
1CFKU,0.9071,144.16,148.49
1CFKV,0.9071,214.19,220.61
1CFKW,0.9071,330.29,340.2
1CFKX,0.9071,568.06,585.11
1CFLS,1.1348,14.56,15
1CFLT,1.1348,52.58,54.16
1CFLU,1.1348,144.16,148.49
1CFLV,1.1348,214.19,220.61
1CFLW,1.1348,330.29,340.2
1CFLX,1.1348,568.06,585.11
1CFMS,1.3624,14.56,15
1CFMT,1.3624,52.58,54.16
1CFMU,1.3624,144.16,148.49
1CFMV,1.3624,214.19,220.61
1CFMW,1.3624,330.29,340.2
1CFMX,1.3624,568.06,585.11
1CFNS,1.59,14.56,15
1CFNT,1.59,52.58,54.16
1CFNU,1.59,144.16,148.49
1CFNV,1.59,214.19,220.61
1CFNW,1.59,330.29,340.2
1CFNX,1.59,568.06,585.11
1CFPS,1.8177,14.56,15
1CFPT,1.8177,52.58,54.16
1CFPU,1.8177,144.16,148.49
1CFPV,1.8177,214.19,220.61
1CFPW,1.8177,330.29,340.2
1CFPW,1.8177,568.06,585.11
1CGKS,1.116,14.56,15
1CGKT,1.116,52.58,54.16
1CGKU,1.116,144.16,148.49
1CGKV,1.116,214.19,220.61
1CGKW,1.116,330.29,340.2
1CGKX,1.116,568.06,585.11
1CGLS,1.3211,14.56,15
1CGLT,1.3211,52.58,54.16
1CGLU,1.3211,144.16,148.49
1CGLV,1.3211,214.19,220.61
