hipps_code,hhrg_weight
1AFKS,0.5985
1AFKT,0.5985
1AFKU,0.5985
1AFKV,0.5985
1AFKW,0.5985
1AFKX,0.5985
1AFLS,0.7242
1AFLT,0.7242
1AFLU,0.7242
1AFLV,0.7242
1AFLW,0.7242
1AFLX,0.7242
1AFMS,0.8499
1AFMT,0.8499
1AFMU,0.8499
1AFMV,0.8499
1AFMW,0.8499
1AFMX,0.8499
1AFNS,0.9756
1AFNT,0.9756
1AFNU,0.9756
1AFNV,0.9756
1AFNW,0.9756
1AFNX,0.9756
1AFPS,1.1013
1AFPT,1.1013
1AFPU,1.1013
1AFPV,1.1013
1AFPW,1.1013
1AFPX,1.1013
1AGKS,0.7277
1AGKT,0.7277
1AGKU,0.7277
1AGKV,0.7277
1AGKW,0.7277
1AGKX,0.7277
1AGLS,0.8353
1AGLT,0.8353
1AGLU,0.8353
1AGLV,0.8353
1AGLW,0.8353
1AGLX,0.8353
1AGMS,0.9429
1AGMT,0.9429
1AGMU,0.9429
1AGMV,0.9429
1AGMW,0.9429
1AGMX,0.9429
1AGNS,1.0505
1AGNT,1.0505
1AGNU,1.0505
1AGNV,1.0505
1AGNW,1.0505
1AGNX,1.0505
1AGPS,1.1581
1AGPT,1.1581
1AGPU,1.1581
1AGPV,1.1581
1AGPW,1.1581
1AGPX,1.1581
1AHKS,0.7914
1AHKT,0.7914
1AHKU,0.7914
1AHKV,0.7914
1AHKW,0.7914
1AHKX,0.7914
1AHLS,0.9056
1AHLT,0.9056
1AHLU,0.9056
1AHLV,0.9056
1AHLW,0.9056
1AHLX,0.9056
1AHMS,1.0198
1AHMT,1.0198
1AHMU,1.0198
1AHMV,1.0198
1AHMW,1.0198
1AHMX,1.0198
1AHNS,1.1340
1AHNT,1.1340
1AHNU,1.1340
1AHNV,1.1340
1AHNW,1.1340
1AHNX,1.1340
1AHPS,1.2482
1AHPT,1.2482
1AHPU,1.2482
1AHPV,1.2482
1AHPW,1.2482
1AHPX,1.2482
1BFKS,0.6370
1BFKT,0.6370
1BFKU,0.6370
1BFKV,0.6370
1BFKW,0.6370
1BFKX,0.6370
1BFLS,0.7718
1BFLT,0.7718
1BFLU,0.7718
1BFLV,0.7718
1BFLW,0.7718
1BFLX,0.7718
1BFMS,0.9066
1BFMT,0.9066
1BFMU,0.9066
1BFMV,0.9066
1BFMW,0.9066
1BFMX,0.9066
1BFNS,1.0413
1BFNT,1.0413
1BFNU,1.0413
1BFNV,1.0413
1BFNW,1.0413
1BFNX,1.0413
1BFPS,1.1761
1BFPT,1.1761
1BFPU,1.1761
